Song_ID,Actual_Average,Predicted_Average
110,-0.362308518716667,-0.326628814432058
111,0.0102625621666667,-0.194314001960068
112,0.280286949333333,0.0953243253680005
113,-0.123326365333333,-0.127436740406522
114,0.2628543262,-0.0432308189390821
115,0.534416196,0.0139905804318454
116,-0.1785957275,0.042411843386975
117,0.151426028766667,-0.0879780739783926
118,-0.00178335283333333,-0.0395882990744038
119,-0.199364100166667,-0.124471693322368
120,-0.0828311346166667,-0.0876053413630144
121,-0.0769743181666667,-0.0543715793488696
122,-0.023281359,-0.160693807105963
123,0.290861267216667,0.00417853795066004
124,-0.386238856666667,-0.213357131125517
125,-0.132393465,-0.150863026303077
126,0.325636328333333,-0.0577853435549186
127,0.129757935666667,-0.160081650536569
128,-0.231513647333333,-0.121563564010689
129,0.294053562,-0.0209299058320531
130,-0.03070810535,-0.120160632536458
131,-0.0280918948833333,0.0117216286287932
133,-0.593149143333333,-0.105264380460027
134,0.160223459166667,-0.00409824602545347
135,-0.290412572166667,-0.0972048521882673
136,0.292933829066667,0.120862483807333
137,0.216781485833333,-0.171108893802454
138,-0.430670685,-0.134136141153438
140,-0.103129811666667,-0.172264205515455
142,0.140205056833333,-0.0710224967149444
143,0.0195126241666667,-0.147914668122459
144,0.00531782333333334,-0.0678625592707503
145,0.0839277188333333,-0.115475246408789
146,-0.222996518333333,-0.179886096486682
148,0.00906147333333334,0.137855202616189
149,-0.327540413333333,-0.132252552312115
150,0.038048058,-0.0757701060155013
151,-0.0659039185,-0.0917250805075011
152,-0.0212083922833333,-0.0137888491140779
153,0.0399753888333333,-0.169413200836545
154,-0.096398861,-0.0633820253378552
155,0.108450562333333,-0.0587268702729632
156,0.379438044666667,0.100394713632913
157,0.3065266325,-0.0435830666791753
158,-0.244370643066667,-0.122805858027251
159,-0.327591868966667,-0.147399824007922
160,-0.251705856333333,-0.0949048124261942
161,-0.300543106833333,-0.0790769257778956
162,-0.018891387,-0.129609372050039
163,-0.143535789,-0.108767182283957
164,-0.369360665,-0.17350691677092
166,-0.125115055,7.57644307161974e-05
167,-0.200935803333333,-0.122381359898073
168,-0.211836026666667,-0.098427430937059
169,-0.39170670645,-0.121003115122223
170,-0.171957375916667,-0.178752048224254
171,-0.185794326166667,-0.198794473942869
172,-0.0165039625,-0.203651895235104
173,-0.468645516166666,-0.107253214304921
174,-0.307779976666667,-0.0707950293456768
175,0.0529609985,-0.0952042734452059
176,-0.264115412666667,-0.144731427050257
177,0.146110822883333,0.0560911524603507
178,-0.132401427833333,0.0191026897245119
179,0.272099404166667,-0.0855753967481882
180,0.241459568333333,-0.137107811965703
